keys,en,es
Nexus Resonance,Nexus Resonance,Nexus Resonance
Bake Probes,Bake Probes,Hornear sondas
Export Mesh,Export Mesh,Exportar malla
Clear,Clear,Limpiar
Cancel,Cancel,Cancelar
Continue,Continue,Continuar
Bake Anyway,Bake Anyway,Hornear de todos modos
Undo,Undo,Deshacer
Preview Bake Settings,Preview Bake Settings,Previsualizar ajustes de horneado
Documentation,Documentation,Documentación
Export Active Scene,Export Active Scene,Exportar escena activa
Export All Open Scenes,Export All Open Scenes,Exportar todas las escenas abiertas
Export Active Scene To OBJ (Debug),Export Active Scene To OBJ (Debug),Exportar escena activa a OBJ (Depuración)
Export Dynamic Objects In Active Scene,Export Dynamic Objects In Active Scene,Exportar objetos dinámicos en escena activa
Export Dynamic Objects In All Scenes In Build,Export Dynamic Objects In All Scenes In Build,Exportar objetos dinámicos en todas las escenas de la compilación
Export All Dynamic Objects In Project,Export All Dynamic Objects In Project,Exportar todos los objetos dinámicos del proyecto
Clear Unreferenced Probe Data,Clear Unreferenced Probe Data,Limpiar datos de sondas no referenciados
Bake All Probe Volumes In Active Scene,Bake All Probe Volumes In Active Scene,Hornear todos los volúmenes de sondas en escena activa
Clear Probe Batches,Clear Probe Batches,Limpiar lotes de sondas
Unlink Probe Volume References,Unlink Probe Volume References,Desvincular referencias de volúmenes de sondas
Nexus Resonance - Bake Failed,Nexus Resonance - Bake Failed,Nexus Resonance - Error al hornear
Nexus Resonance - Export Failed,Nexus Resonance - Export Failed,Nexus Resonance - Error al exportar
Nexus Resonance - Save Failed,Nexus Resonance - Save Failed,Nexus Resonance - Error al guardar
Nexus Resonance - GDExtension Not Loaded,Nexus Resonance - GDExtension Not Loaded,Nexus Resonance - GDExtension no cargada
Nexus Resonance - Pre-Bake Check,Nexus Resonance - Pre-Bake Check,Nexus Resonance - Comprobación pre-horneado
Nexus Resonance - Baking,Nexus Resonance - Baking,Nexus Resonance - Horneando
Nexus Resonance - Backup,Nexus Resonance - Backup,Nexus Resonance - Copia de seguridad
