keys,en
"Nexus Resonance","Nexus Resonance"
"Bake Probes","Bake Probes"
"Export Mesh","Export Mesh"
"Clear","Clear"
"Cancel","Cancel"
"Continue","Continue"
"Bake Anyway","Bake Anyway"
"Undo","Undo"
"Preview Bake Settings","Preview Bake Settings"
"Documentation","Documentation"
"Export Active Scene","Export Active Scene"
"Export All Open Scenes","Export All Open Scenes"
"Export Active Scene To OBJ (Debug)","Export Active Scene To OBJ (Debug)"
"Export Dynamic Objects In Active Scene","Export Dynamic Objects In Active Scene"
"Export Dynamic Objects In All Scenes In Build","Export Dynamic Objects In All Scenes In Build"
"Export All Dynamic Objects In Project","Export All Dynamic Objects In Project"
"Clear Unreferenced Probe Data","Clear Unreferenced Probe Data"
"Bake All Probe Volumes In Active Scene","Bake All Probe Volumes In Active Scene"
"Clear Probe Batches","Clear Probe Batches"
"Unlink Probe Volume References","Unlink Probe Volume References"
"Nexus Resonance - Bake Failed","Nexus Resonance - Bake Failed"
"Nexus Resonance - Export Failed","Nexus Resonance - Export Failed"
"Nexus Resonance - Save Failed","Nexus Resonance - Save Failed"
"Nexus Resonance - GDExtension Not Loaded","Nexus Resonance - GDExtension Not Loaded"
"Nexus Resonance - Pre-Bake Check","Nexus Resonance - Pre-Bake Check"
"Nexus Resonance - Baking","Nexus Resonance - Baking"
"Nexus Resonance - Backup","Nexus Resonance - Backup"
"A backup of current Probe Volume data will be created before baking. You can undo the bake to restore the previous data.","A backup of current Probe Volume data will be created before baking. You can undo the bake to restore the previous data."
"Preparing...","Preparing..."
"Processing...","Processing..."
"Baking reverb probes","Baking reverb probes"
"Baking pathing","Baking pathing"
"Baking static source","Baking static source"
"Baking static listener","Baking static listener"
"Skipping (up-to-date)","Skipping (up-to-date)"
"Estimated time: %s","Estimated time: %s"
"Stage %d of %d","Stage %d of %d"
"%d probes","%d probes"
"Details","Details"
"Status","Status"
"No scene open.","No scene open."
"GDExtension not loaded.","GDExtension not loaded."
"Export failed with error %s","Export failed with error %s"
"Scene not exported. Use Tools > Nexus Resonance > Export Active Scene before baking.","Scene not exported. Use Tools > Nexus Resonance > Export Active Scene before baking."
"Bake runner not initialized.","Bake runner not initialized."
"ResonanceServer lacks export_static_scene_to_asset. Update the addon.","ResonanceServer lacks export_static_scene_to_asset. Update the addon."
"ResonanceSOFAAsset not available.","ResonanceSOFAAsset not available."
"Bake failed. Check Editor output.","Bake failed. Check Editor output."
"Failed to build config.","Failed to build config."
"Failed to save: %s","Failed to save: %s"
"No main scene configured.","No main scene configured."
"Failed to load main scene: %s","Failed to load main scene: %s"
"Addon and GDExtension may be out of sync.","Addon and GDExtension may be out of sync."
"Update the Nexus Resonance addon and GDExtension to matching versions.","Update the Nexus Resonance addon and GDExtension to matching versions."
"Set application/run/main_scene in Project Settings.","Set application/run/main_scene in Project Settings."
"Failed to create output directory %s (error %d). Ensure res:// is writable.","Failed to create output directory %s (error %d). Ensure res:// is writable."
"No ResonanceDynamicGeometry in scene. Nothing to export.","No ResonanceDynamicGeometry in scene. Nothing to export."
"Select one or more ResonanceProbeVolume nodes, then run this to unlink references before deleting.","Select one or more ResonanceProbeVolume nodes, then run this to unlink references before deleting."
"No ResonancePlayer in this scene points to the selected Probe Volume(s).","No ResonancePlayer in this scene points to the selected Probe Volume(s)."
"No ResonanceProbeVolume in scene. Nothing to bake.","No ResonanceProbeVolume in scene. Nothing to bake."
